"","Trade.Name","City","Reviews","Number_of_Reviews"
"2261","VINCENT FARMS 9","BROOKLYN",0,0
"2262","SK CANDY AND TOBACCO","SOUTH RICHMOND HIL",0,0
"2263","LILI DELI GROCERY & MEA","BRONX",0,0
"2264","GREEN CORNER FISH & FAR","BROOKLYN",4.1,587
"2265","REMAS DELI AND GROCERY","BROOKLYN",0,0
"2266","AMISH MARKET","NEW YORK",0,0
"2267","MOTHER EARTHS STOREHOUS","POUGHKEEPSIE",3.9,36
"2268","COUTOUS PRODUCE AND MOR","BROOKLYN",0,0
"2269","K MART #7777","NEW YORK",3.7,757
"2270","JIMMYS FAMOUS HEROS","BROOKLYN",4.7,162
"2271","549 GROCERY","BRONX",0,0
"2272","ELM STREET DELI GROCERY","YONKERS",0,0
"2273","LUNA BROTHERS FRUIT PLA","NEW YORK",4.5,2
"2274","CVS PHARMACY 02436","BROOKLYN",0,0
"2275","GREENE GRAPE PROVISIONS","BROOKLYN",4.4,148
"2276","200 W 14TH STREET GOURM","NEW YORK",0,0
"2277","QUICK DELI II","BROOKLYN",5,3
"2278","VANEGAS MINI MARKET","RICHMOND HILL",0,0
"2279","LINCOLN DELI & GROCERY","BRONX",4,8
"2280","OURIS MARKET","BROOKLYN",4,5
"2281","MANGO GROCERY&MEAT","BRONX",4.4,133
"2282","QUEEN STOP MARKET","ROCHESTER",4.3,7
"2283","CYPRESS 138 DELI GROCER","BRONX",4.7,13
"2284","TAKE A BITE DELI&GRCY","BRONX",0,0
"2285","HEALTHY MARKET","NEW YORK",4,40
"2286","DAINOBU","NEW YORK",0,0
"2287","MAPLEVIEW MARKET","MEXICO",4,27
"2288","LUCKY 7S DELI ON 5TH","BROOKLYN",4.9,55
"2289","BYRNE DAIRY STORE 50","FULTON",0,0
"2290","CROTON FOODMART","CROTON ON HUDSON",0,0
"2291","DANDY MINI MART 34","BREESPORT",4.3,3
"2292","TKRC PRODUCTIONS","BRONX",0,0
"2293","QUICK STOP & SHOP DELI","JACKSON HEIGHTS",4.4,16
"2294","595 KINGSTON MEAT MARKE","KINGSTON",0,0
"2295","LA VINA FOOD","BRONX",3,2
"2296","RASLIN GROCERY CORP","BROOKLYN",0,0
"2297","BLOOMFIELD BIG M","BLOOMFIELD",3.2,55
"2298","FERRY EXPRESS MART","BUFFALO",3.5,223
"2299","YU HUA TRADING","FLUSHING",0,0
"2300","HEALTH HUT","BROOKLYN",5,NA
"2301","FULTON FRUITS V EGETABL","BROOKLYN",0,0
"2302","MASTER ZEES MINI MARKET","STATEN ISLAND",3.8,12
"2303","SANTINO'S GOURMET DELI","STATEN ISLAND",4.7,15
"2304","RA DELI AND GROCERY 1","STATEN ISLAND",4.5,107
"2305","HOUSE OF SPICE","SELDEN",3.9,184
"2306","IDEAL CHEESE SHOP","NEW YORK",4.7,62
"2307","AVENUE J FISH CENTER","BROOKLYN",4.6,12
"2308","BALTAZAR IMPORT & EXPOR","BROOKLYN",0,0
"2309","KWIK STOP MART","LOCKPORT",0,0
"2310","FEATHERBED LANE GROCERY","BRONX",0,0
"2311","188 PARK DELI GROCERY","BRONX",3.7,9
"2312","CHAPIN MEX DELI GROCERY","CORONA",0,0
"2313","GULF EXPRESS","ROCKAWAY PARK",4,16
"2314","CIRCLE K #7635","SYRACUSE",4.3,55
"2315","AMOR DELI GROCERY","NEW YORK",0,0
"2316","SHELLEYS QUALITY MEATS","ENDICOTT",4.5,288
"2317","ROGUE CARROT THE","ALFRED",4.8,10
"2318","STUYVESANT DELI SUPRMKT","BROOKLYN",4,52
"2319","PRICE CHOPPER 210","RICHFIELD SPRINGS",4.2,254
"2320","MENDEZ DELI GROCERY","BROOKLYN",4.1,14
"2321","LA PLACITA D'WASHINGTON","NEW YORK",4.7,25
"2322","LIEHS & STEIGERWALD","SYRACUSE",0,0
"2323","KINNEY DRUGS 25","ST JOHNSVILLE",3.6,9
"2324","FOOD FARM SUPERMARKET","VALLEY STREAM",3.8,30
"2325","ALANS FARMLAND","NEW YORK",3.9,46
"2326","GAIAS BREATH","JORDANVILLE",5,2
"2327","SUPER FRESH","STATEN ISLAND",0,0
"2328","DAN SUPERMARKET 2","NEW YORK",4.2,176
"2329","QUICK STOP","NEW CITY",5,3
"2330","TASHKENT SUPERMARKET","BROOKLYN",4.5,NA
"2331","SJ GROCERY CONVENIENCE","WOODSIDE",0,0
"2332","EL MERCADITO FOOD","NEW YORK",0,0
"2333","DE CICCOS","HARRISON",4.4,222
"2334","STEW LEONARDS","YONKERS",4.5,NA
"2335","FIESTA DELI & GRILL","CORONA",0,0
"2336","FINE FARE","NEW YORK",0,0
"2337","CVS #4745","WHITE PLAINS",4.1,21
"2338","MY SWEET DELI MARKET","NEW YORK",4.7,3
"2339","ABREUS GROCERY","BROOKLYN",4.4,14
"2340","KAT FOOD MARKET","BUFFALO",0,0
"2341","CLASSON GROCERY","BROOKLYN",0,0
"2342","1247 DELI","NEWBURGH",4.4,7
"2343","KING 99C & DISCOUNT MAR","BROOKLYN",4.5,60
"2344","BAGELS ON THE SQUARE","NEW YORK",0,0
"2345","MEDINA HALAL MARKET THE","ALBANY",3.6,48
"2346","H PARIKH","BROOKLYN",0,0
"2347","GTB FUEL 2","BALLSTON LAKE",0,0
"2348","TERRACE GROCERY","NEW YORK",5,3
"2349","MKX 99 CENTS&UP","BRONX",4.7,7
"2350","FLATLANDER DELI @AWESOM","BOONVILLE",4.7,22
"2351","7-ELEVEN #35087","BERGEN",0,0
"2352","EDDIES EAGLE MARKET","SYRACUSE",3.9,16
"2353","LEX GOURMET","NEW YORK",4.4,14
"2354","DAYYAN MINI MART","BROOKLYN",5,NA
"2355","GOUMET DELI&GRILL","JAMAICA",0,0
"2356","N MAIN ST DELI & CONVEN","SYRACUSE",4.4,14
"2357","GROSS BAKE SHOP","BROOKLYN",4.3,174
"2358","STEWARTS SHOP 207","DANNEMORA",4.8,4
"2359","HABIB I DELI","BROOKLYN",4.5,42
"2360","SUSHILOVER @ SHOPRITE","WARWICK",4.4,953
"2361","ALBANIAN GROCERY","RIDGEWOOD",0,0
"2362","VARYETE STORE","BROOKLYN",0,0
"2363","NORTHPORT FISH&LOBSTER","NORTHPORT",4.7,63
"2364","1447 NEILSON STREET MAR","UTICA",0,0
"2365","PHILIPPINES BEST GROCRY","HICKSVILLE",4.5,74
"2366","JOY'S DELI GROCERY","BRONX",2,3
"2367","MAR FRUIT MARKET & DELI","BRONX",0,0
"2368","BLUEOX 305","ITHACA",0,0
"2369","ALDI #78","ROCHESTER",0,0
"2370","ARONS KISSENA FARMS","FLUSHING",4.4,964
"2371","SLOPE FOODS","BROOKLYN",0,0
"2372","MAYERS CIDER MILL","WEBSTER",4.3,49
"2373","NEW BROTHERS GROCERY","BROOKLYN",4,3
"2374","CHERRY GOURMET DELI","NEW YORK",4.9,10
"2375","NICKY DELI","BRONX",4.2,47
"2376","MAGIC MEAT MARKET","CENTRAL ISLIP",4.4,22
"2377","BARN THE","LINDENHURST",2.3,3
"2378","NATURAL MARKET","BROOKLYN",0,0
"2379","198 DELI & GROCERY","HOLLIS",0,0
"2380","BG FRUIT MARKET","BRONX",0,0
"2381","CVS PHARMACY 00541","ROCKVILLE CENTRE",0,0
"2382","843 MASTER DELI & GROCE","BRONX",0,0
"2383","SINGH PETROLEUM SEVEN","LIVERPOOL",0,0
"2384","STOP-N-SHOP","TROY",0,0
"2385","RITE AID #00615","ROCHESTER",0,0
"2386","COBBLE POND FARMS","VALATIE",0,0
"2387","MAHARAJA FARMERS MARKET","NEW HYDE PARK",4,425
"2388","ORGANIC 7 MARKET","NEW YORK",4.5,6
"2389","BREWSTER GAS & MART","BREWSTER",0,0
"2390","RAFI DELI GROCERY","BROOKLYN",4.5,22
"2391","BUHRE FISH MARKET","BRONX",3.3,8
"2392","CVS PHARMACY #10041","NEW YORK",0,0
"2393","CHURCH OIL CO","PLATTSBURGH",3.5,2
"2394","LA CENTRO AMERICANA","BRENTWOOD",5,5
"2395","SEA TOWN FISH&MEAT MKT","BROOKLYN",4.1,245
"2396","BALDWINSVILLE GENERAL S","BALDWINSVILLE",0,0
"2397","KIRBYS CIDER MILL","ALBION",0,0
"2398","ADEN CITY","BROOKLYN",0,0
"2399","BESBAS DELI GROCERY","BRONX",0,0
"2400","KIKKA@WHOLE FOODS UPPER","NEW YORK",0,0
"2401","BROOKLYN ROYAL SUSHI","NEW YORK",4.2,172
"2402","FOUR CORNER DELI GROCRY","NEWBURGH",4,42
"2403","SUPER FRESH","STATEN ISLAND",0,0
"2404","MARKET AT GUSS THE","HARRISON",4.8,8
"2405","KING COLUMBUS GOURMET D","NEW YORK",4.5,61
"2406","EXXON","WEST HEMPSTEAD",4.1,56
"2407","FINE FARE SUPERMARKET","BRONX",0,0
"2408","BHUTTA GROCERY AND HALA","BROOKLYN",4.1,14
"2409","SPICES & GROCERY","NEW YORK",0,0
"2410","CAFE DELI-CIOUS","NEW YORK",4,34
"2411","KENNEDY DELI","BRONX",0,0
"2412","SUPER NICE DELI","BROOKLYN",0,0
"2413","ASAAD DELI & GRILL","BROOKLYN",0,0
"2414","TONYS GOURMET DELI","STATEN ISLAND",0,0
"2415","GIGI DELI GROCERY","BROOKLYN",0,0
"2416","CROWN GROCERY","NEW YORK",0,0
"2417","WESTERN BEEF 36","BRONX",0,0
"2418","C TOWN","NEW YORK",0,0
"2419","HALAL DELI GROCERY","NEW YORK",2,3
"2420","SUPER M 1","JACKSON HEIGHTS",0,0
"2421","STAR DELI & GRILL","JAMAICA",3.7,6
"2422","GATON MINIMARKET STORE","NEW YORK",5,NA
"2423","WEST MARKET","BUFFALO",4.3,36
"2424","K L SEAFOOD MARKET","NEW YORK",0,0
"2425","BAO FOOD & GROCERY","STATEN ISLAND",0,0
"2426","GOLD COAST TRADING CO","BRONX",4,64
"2427","WIN SEAFOOD MARKET","NEW YORK",4.1,425
"2428","FORTUNE USA TRADE","ASTORIA",4.5,2
"2429","COUNTRY BOY DELI&GRCY","EAST ELMHURST",0,0
"2430","CAROUSEL NEWSTAND","SYRACUSE",3.7,99
"2431","SOTO DELI GROCERY","YONKERS",4.2,13
"2432","JR FOOD CENTER","ROOSEVELT",4.8,4
"2433","RANIA DELI GROCERY","BRONX",0,0
"2434","SLIDERS FOOD MART","HARRISVILLE",0,0
"2435","EL CONTINENTAL DELI","UNIONDALE",2.7,3
"2436","SEMSEM FRUIT&GROCERY","BROOKLYN",1,NA
"2437","WIN SEAFOOD MARKET","NEW YORK",4.1,425
"2438","SAMIR IMPORTED FOODS","SYRACUSE",4.3,139
"2439","CITY FRESH MARKET","BROOKLYN",0,0
"2440","MAZOWSZE DELI","BROOKLYN",0,0
"2441","STEW LEONARDS","YONKERS",4.5,NA
"2442","SKY DELI & GROCERY I","BROOKLYN",4,87
"2443","M & M BAGELS","STATEN ISLAND",0,0
"2444","ANTHONY DELI GROCERY","RIDGEWOOD",4.4,186
"2445","BEST & QUICK GOURMET","BROOKLYN",4,8
"2446","JAMAICA DELI","JAMAICA",0,0
"2447","MIAMI DELI OF SYRACUSE","SYRACUSE",0,0
"2448","BAKED BY MELISSA 12/1/1","NEW YORK",0,0
"2449","IDEAL FOOD BASKET","BROOKLYN",0,0
"2450","LA PLACITA SUPERMARKET","PORT WASHINGTON",4.7,25
"2451","SACKMAN DELI&GROCERY","BROOKLYN",4.6,95
"2452","KING LEX GOURMET DELI","NEW YORK",3.2,9
"2453","8001 GOURMET DELI","JACKSON HEIGHTS",5,63
"2454","1154 NP MINIMART","BROOKLYN",0,0
"2455","JB&SON","YONKERS",4.6,22
"2456","SPR FOOD MART","NEWBURGH",0,0
"2457","21ST AVE GRILL & DELI","BROOKLYN",4.4,7
"2458","MALKHAZ INTERNATIONAL F","BROOKLYN",0,0
"2459","FERRY EXPRESS MART 4","BUFFALO",3.5,223
"2460","VANEGAS MINI MARKET","RICHMOND HILL",0,0
"2461","CONCOURSE DELI GROCERY","BRONX",4.3,57
"2462","ASTRA SEAFOOD","BROOKLYN",0,0
"2463","PARSON DELI GOURMET","JAMAICA",0,0
"2464","JIMS TRUCK PLAZA","CHEEKTOWAGA",3.8,NA
"2465","CALIFORNIA FRUIT 183","NEW YORK",3.5,23
"2466","MEXICO VALERO","MEXICO",0,0
"2467","BAGELS ON THE SQUARE","NEW YORK",0,0
"2468","STOP 1 DELI GOURMET","BROOKLYN",0,0
"2469","WILD OLIVE","NEW YORK",0,0
"2470","9W GULF","NEWBURGH",3.7,12
"2471","332 GROCERY STORE","BRONX",0,0
"2472","CAROUSEL CAKES","NANUET",4.6,185
"2473","LOVES TRAVEL STOP #403","BINGHAMTON",3.9,172
"2474","EATCETERA CAFE","BOHEMIA",4.5,172
"2475","NATURES DESIGN","WHITNEY POINT",3.3,4
"2476","JEROME DELI PLAZA","BROOKLYN",3.9,22
"2477","IDEAL FOOD BASKET","BROOKLYN",0,0
"2478","ARDSLEY FRESH MARKET &","ARDSLEY",4.5,139
"2479","MERCEDES GROCERY","BRONX",4.3,4
"2480","M H DELI GROCERY","BRONX",0,0
"2481","BIG LOTS # 831","LOCKPORT",0,0
"2482","PARASRAMS W INDIAN MKT","JAMAICA",0,0
"2483","SUNOCO A PLUS","STATEN ISLAND",4.3,17
"2484","AVRUMIS BAKERY","BROOKLYN",0,0
"2485","GREENPORT IGA","GREENPORT",4,196
"2486","NORTH SHORE FARMS","MINEOLA",4.2,648
"2487","WOODSIDE GROCERY & DISC","ELMHURST",3.3,6
"2488","H&R DELI & GROCERY","STATEN ISLAND",4.6,18
"2489","ASSOCIATED SUPERMARKET","BRONX",0,0
"2490","WORLD FRUIT FARM","REGO PARK",3.9,13
"2491","ABBOTSFORD ROAD COFFEE","BROOKLYN",4.7,97
"2492","CVS PHARMACY 04609","WHITE PLAINS",0,0
"2493","STEW LEONARDS","YONKERS",4.5,NA
"2494","BABA SUPERMARKET","RICHMOND HILL",3.5,83
"2495","A&A GROCERY MART","POUGHKEEPSIE",4.2,5
"2496","SUNSET FOOD","NEW YORK",0,0
"2497","57 BAYARD MEAT MARKET","NEW YORK",4.4,20
"2498","COSTCO #1070","REGO PARK",4.3,NA
"2499","MELT NY THE","MONSEY",4.9,71
"2500","MI CHAPINCITA","STATEN ISLAND",4.4,5
"2501","WEST END SUPER","NEW YORK",4,48
"2502","RITE AID 10569","ASTORIA",0,0
"2503","C TOWN SUPERMARKET","STATEN ISLAND",4.1,240
"2504","ACME SMOKED FISH","BROOKLYN",4.7,109
"2505","STRADIVA SEAFOOD GOURME","BROOKLYN",4,11
"2506","SAUNDERSKILL FARMS","ACCORD",4.6,86
"2507","WENDELS POULTRY FARM","EAST CONCORD",4.9,57
"2508","STAR 70 GOURMET DELI","BROOKLYN",0,0
"2509","LEVY'S DELICIOUS FOOD","BROOKLYN",4.4,84
"2510","MAQUEN FOOD","BROOKLYN",0,0
"2511","FAIRWAY LIKE NO OTHER","PELHAM",0,0
"2512","BEST MARKET","WESTHAMPTON BEACH",4.4,353
"2513","LQA GROCERY II","BROOKLYN",0,0
"2514","CITGO","BRENTWOOD",3,8
"2515","TASHFEEN CONVENIENCE","MOUNT VERNON",0,0
"2516","FRESH DELI","BROOKLYN",0,0
"2517","ASSOCIATED","NEW YORK",0,0
"2518","IBB MINI MART","SYRACUSE",4.1,32
"2519","CHAMBERS STREET DELI AN","NEWBURGH",0,0
"2520","SAKAFE DELI GROCERY","BROOKLYN",5,2
"2521","MELDI USA","BROOKLYN",0,0
"2522","DIAZ GROCERY & DELI","BRONX",4.6,170
"2523","J & R SUPER DELI GROCER","BRONX",0,0
"2524","7 ELEVEN STORE #11194E","SELDEN",0,0
"2525","PINOS PRIME MEAT MARKET","NEW YORK",4.8,38
"2526","BKLYN DELI & GRILL","BROOKLYN",0,0
"2527","BAGELS ON THE SQUARE","NEW YORK",0,0
"2528","CVS PHARMACY 05009","PENN YAN",0,0
"2529","14TH STREET CORNER MART","BUFFALO",2.9,31
"2530","WEJDAN CANDY & GROCERY","NEW YORK",0,0
"2531","WEBSTER GOURMET DELI","BRONX",4.2,21
"2532","R&J GROCERY & DELI","ALBANY",1.8,4
"2533","WINSOME DELI","NEW YORK",0,0
"2534","GRISTEDES 518","NEW YORK",3.3,247
"2535","7 & 7 DELI","QUEENS VILLAGE",4.6,57
"2536","MARKET FRESH","STATEN ISLAND",4.5,194
"2537","PNZ GRILL & DELI","RIDGEWOOD",0,0
"2538","HEALTHY MARKET","NEW YORK",4,40
"2539","ASKERS FOOD MARKET 2","ROCHESTER",0,0
"2540","MR VARIETY STORE","BUFFALO",4.1,13
"2541","M&M MINI MART & DELI","BUFFALO",0,0
"2542","MERCERS","WATERTOWN",4.6,5
"2543","MORTON WILLIAMS SPRMRKT","BRONX",3.8,404
"2544","HOWARD BEACH DELI","HOWARD BEACH",0,0
"2545","NEW WAY DELI & GROCERY","CORONA",3.8,6
"2546","PARKS VILLAGE MARKET","NYACK",4.3,12
"2547","COUNTRY GROCERY","GREENWOOD LAKE",4.8,10
"2548","AAA DELI&GROCERY","FREEPORT",4.4,55
"2549","MANUELA FOOD MARKET","HEMPSTEAD",0,0
"2550","H&Y MKT PLACE","HICKSVILLE",4,437
"2551","JENNY SUSHI","NEW YORK",4.4,241
"2552","NEW FIREHOUSE DELI AND","RIDGEWOOD",4.5,325
"2553","UTICA CASH AND CARRY MK","UTICA",5,8
"2554","MARIO DELI & GROCERY","YONKERS",4,23
"2555","BAGELS ON THE SQUARE","NEW YORK",0,0
"2556","FISCHER BROS&LESLIE","NEW YORK",3.1,15
"2557","SURPRENANTS BERRY FARM","MOOERS",0,0
"2558","SUPPLEMENT KINGS","DEER PARK",5,22
"2559","PAMELAS GREEN DELI I","BRONX",3.1,10
"2560","TOWN N COUNTRY MARKET","ALLENTOWN",3.8,5
"2561","CVS PHARMACY #1134","BEDFORD HILLS",3.9,16
"2562","GLORY 99C","MOUNT VERNON",0,0
"2563","UTICA FOOD MARKET","BROOKLYN",0,0
"2564","RITE AID #7849","HYDE PARK",0,0
"2565","KEY FOOD FRESH MARKET","NEW YORK",0,0
"2566","RUGBY PHARMACY","BROOKLYN",0,0
"2567","TEJADA DELI","MASTIC BEACH",0,0
"2568","BONAO MEATS AND PRODUCE","BRONX",3.8,6
"2569","JUNCTION DELI AND GROCE","ELMHURST",0,0
"2570","SPORT DELI & GROCERY","DEER PARK",0,0
"2571","MEDINA HALAL MARKET THE","ALBANY",3.6,48
"2572","GARDEN MINI DELI","POUGHKEEPSIE",5,NA
"2573","4G DELI","JAMAICA",0,0
"2574","TOASTIES BAGEL CAFE","NEW YORK",4.3,164
"2575","TONY FRUITS & GROCERY","BRONX",3.3,4
"2576","WAGGYS DELI & GROCERY","BRONX",4.6,170
"2577","COMMODORE CHOCOLATIER","NEWBURGH",4.9,123
"2578","F&B DELI MINI MART","JAMAICA",0,0
"2579","AMEER CONVENIENCE","BRONX",0,0
"2580","STEWARTS SHOP #163","RICHFIELD SPRINGS",4,8
"2581","CANDYMAVEN US","BROOKLYN",4.8,19
"2582","ANALIZ DELI GROCERY","MT VERNON",4.3,8
"2583","7-ELEVEN FD STR 32121B","BAY TERRACE",0,0
"2584","DC MEAT MARKET","NEW YORK",3.3,3
"2585","C TOWN","NEW YORK",0,0
"2586","BEST BROOKLYN DELI","BROOKLYN",0,0
"2587","AL BARAKA GROCERY","BROOKLYN",4.2,5
"2588","METRO MARKET","ROCHESTER",4.3,12
"2589","UPSTATE CONVENIENCE MKT","SYRACUSE",2.8,5
"2590","BOCCIA BAKERY","BROOKLYN",0,0
"2591","GOURMET DELI DELIGHT","BROOKLYN",4.9,9
"2592","MILL BASIN SHUK","BROOKLYN",4.9,61
"2593","GRISTEDES 413","NEW YORK",3.6,78
"2594","HANYANG SUPERMARKET","FLUSHING",3.7,NA
"2595","GORKHA GROCERY STORE","ROCHESTER",4,26
"2596","INDIA HOUSE","ROCHESTER",0,0
"2597","KINGS BRIDGE MARKET","BRONX",4.5,61
"2598","L STOP GOURMET DELI","BROOKLYN",4.7,16
"2599","MIRABITO STORE #99","BINGHAMTON",0,0
"2600","ESSAM HOOKAH & TOBACCO","BRONX",0,0
"2601","CVS PHARMACY #1113","JACKSON HEIGHTS",0,0
"2602","SAM NEIGHBORHOOD GRCRY","BROOKLYN",4.2,21
"2603","DECATUR DELI FOOD","BRONX",4,51
"2604","NEW LEBANON EZ MART","NEW LEBANON",0,0
"2605","HEAVENLY CUP COFFEE RST","PAINTED POST",4.6,246
"2606","FLATBUSH FOOD & DISCOUN","BROOKLYN",4.3,672
"2607","AAA DELI&GROCERY","FREEPORT",4.4,55
"2608","NORDOMI DELI","JAMAICA",4.7,22
"2609","DIRIENZO BROS BAKERY","BINGHAMTON",4.5,91
"2610","SATMAR MEATS OF FLTBSH","BROOKLYN",4.4,8
"2611","YASMINA DELI","STATEN ISLAND",0,0
"2612","HERBERTS MEAT MARKET","HEMPSTEAD",4.7,25
"2613","FIESTAA GROCERY & DELI","UTICA",4.2,64
"2614","DOLLAR TREE #03105","PEEKSKILL",3.5,90
"2615","MC DELI","ELMONT",5,NA
"2616","MIKE DELI & GRILL","BROOKLYN",4.9,12
"2617","SUPERIOR PRODUCTS MKT","BRONX",0,0
"2618","SEVEN DAYS DELI AND GRO","BROOKLYN",0,0
"2619","WEGMANS 73","JOHNSON CITY",0,0
"2620","SINGH PETROLEUM","NORTH SYRACUSE",0,0
"2621","MD AFRICAN MKT & DISCOU","BRONX",4.3,27
"2622","GULF FOOD MART","NEW WINDSOR",0,0
"2623","MAHARAJA","HICKSVILLE",4.1,682
"2624","TONYS GOURMET DELI","STATEN ISLAND",0,0
"2625","ORGANIC CIRCLE","BROOKLYN",4.3,147
"2626","BACK HOME CRBBN FRT&VEG","BRONX",0,0
"2627","ISLAND FISH","FARMINGVILLE",4.5,120
"2628","OSSINING SNACK SHOP","OSSINING",3.9,34
"2629","NANO DELI GROCERY","BROOKLYN",4.2,6
"2630","HOLLAND DELI","STATEN ISLAND",4.5,16
"2631","PARKSIDE CANDY","BUFFALO",4.6,254
"2632","BREEZE HILL FARM & PRES","PECONIC",4.8,19
"2633","KWIK FILL A0047","ONTARIO",4.1,57
"2634","SUES GROCERY","STATEN ISLAND",3.8,9
"2635","SUPERIOR PRODUCTS MKT","BRONX",0,0
"2636","AZAN DELI & GRILL","BROOKLYN",3.5,6
"2637","STOP & SHOP #2583","HUNTINGTON",0,0
"2638","NOVA GROCERY","BROOKLYN",0,0
"2639","SHREE GROCERY","ELMHURST",0,0
"2640","CHESTNUT","BROOKLYN",0,0
"2641","BENY DELI & GROCERY","SPRING VALLEY",0,0
"2642","CHERRY VALLEY MARKETPLA","BRONX",0,0
"2643","TARGET 1157","ROCHESTER",0,0
"2644","BIG APPLE MEAT MARKET","NEW YORK",4.4,102
"2645","HALAL LIVE POULTRY","LONG ISLAND CITY",3.4,26
"2646","B&B MINI MARKET","BROOKLYN",4.1,29
"2647","WHITEYS MEAT DELI&BEVRG","JOHNSTOWN",0,0
"2648","MAZZARELLA'S DELI","HOLMES",4.5,33
"2649","OISHINBO","HARRISON",4.6,34
"2650","WESTERN BEEF 48","BRONX",0,0
"2651","INDIA HOUSE","ROCHESTER",0,0
"2652","WILTON AVE DELI & GROCE","BRONX",0,0
"2653","AZAN DELI & GRILL","BROOKLYN",3.5,6
"2654","USA GAS MINIMART","GREENE",4.8,5
"2655","SHOP FAIR","BROOKLYN",0,0
"2656","TOP FISH","STATEN ISLAND",0,0
"2657","DEALS #5146","MOUNT VERNON",0,0
"2658","STAR 1 EXPRESS","STATEN ISLAND",1,NA
"2659","TOPS MARKETS #599","HANNIBAL",0,0
"2660","LUCKY CORNER","REGO PARK",0,0
"2661","AMOR DELI GROCERY","NEW YORK",0,0
"2662","OLD STONE MARKET","EAST HAMPTON",4,33
"2663","COLUMBIA GOURMET DELI","NEW YORK",3.7,48
"2664","PRICE CHOPPER 157","GRANVILLE",0,0
"2665","39 LOTT GROCERY","BROOKLYN",5,2
"2666","BIPI ELIOT NY","MASPETH",0,0
"2667","HALSEY GROCERY","BROOKLYN",4,156
"2668","EL MANGO DELI GROCERY","HEMPSTEAD",4.4,14
"2669","CRYSTAL CITY OLIVE OIL","OWEGO",4.8,6
"2670","NEW AGE MARKETS","FLUSHING",3.8,318
"2671","RITE AID #10604","RIDGEWOOD",0,0
"2672","APNA BAZAR CASH&CARRY","JACKSON HEIGHTS",3.6,92
"2673","DELI FUENTES","HEMPSTEAD",0,0
"2674","TROY DELI","BROOKLYN",0,0
"2675","SATMAR MEATS&POULTRY","BROOKLYN",4.9,28
"2676","CHANG LI SUPERMARKET","BRONX",4,542
"2677","CYPRESS GRILL & DELI","RIDGEWOOD",0,0
"2678","FINE FARE SUPERMARKET","BRONX",0,0
"2679","CON MIN DELI & GRILL","BROOKLYN",0,0
"2680","SLIDERS FOOD MART","LOWVILLE",0,0
"2681","AAA GROCERY STORE","MOUNT VERNON",0,0
"2682","LA TINFORA GROCERY","BRONX",0,0
"2683","AMOCO FOOD SHOP","POINT LOOKOUT",0,0
"2684","BARAA DELI AND GROCERY","NEW YORK",0,0
"2685","NEW LONDON PETROLUEM","ROME",0,0
"2686","BREUKELEN FOOD","BROOKLYN",0,0
"2687","GOURMET DELI DELIGHT","BROOKLYN",4.9,9
"2688","KINGS MEAT MARKETS","BROOKLYN",0,0
"2689","SNAP MART OF BUFFALO","BUFFALO",4.8,5
"2690","STOP & SHOP #2577","BALDWIN",0,0
"2691","MCCALL MINI MART","ROCHESTER",4.4,7
"2692","JNJ CARIBBEAN FOODS","HEMPSTEAD",4,4
"2693","YONKERS FARM WHOLESALE","YONKERS",4,142
"2694","FOOD EMPORIUM","NEW YORK",0,0
"2695","EAST VILLAGE MEAT MKT","NEW YORK",4.7,89
"2696","AVRUMIS BAKERY","BROOKLYN",0,0
"2697","LA FONDA DELI","WYANDANCH",5,NA
"2698","GREAT WALL SUPERMARKETS","FLUSHING",0,0
"2699","OCEAN STATE JOB LOT 502","SCHENECTADY",4.2,399
"2700","KEY FOOD","BROOKLYN",0,0
"2701","MEXICAN DELI GROCERY","BRONX",0,0
"2702","5 STAR FOOD MART 11","TROY",3.6,23
"2703","NEW FORDHAM FOOD PLAZA","BRONX",0,0
"2704","PLAZA DELI","BROOKLYN",0,0
"2705","WALGREENS #12093","SCARSDALE",3.3,18
"2706","NANO DELI GROCERY","BROOKLYN",4.2,6
"2707","CURTIS HILL NY","STATEN ISLAND",0,0
"2708","HIM ALONE AFRICAN MKT","UNIONDALE",4.4,24
"2709","LIPTON DELI&GROCERY","OSSINING",4.2,15
"2710","MIKE DELI & GRILL","BROOKLYN",4.9,12
"2711","SEA TOWN FISH&MEAT MKT","BROOKLYN",4.1,245
"2712","EL PANAL DELI GROCERY","MOUNT VERNON",4.1,20
"2713","LUCKY 7S DELI ON 5TH","BROOKLYN",4.9,55
"2714","98-02 SUPERIOR DELI","E ELMHURST",0,0
"2715","TOSTADAS QUITUPAN","NEW ROCHELLE",4.4,5
"2716","HAMMONDSPORT GROCERY","HAMMONDSPORT",4.3,128
"2717","CLASSIC DELI","BRONX",4.2,11
"2718","5-11 CONVENIENCE","STATEN ISLAND",0,0
"2719","WHOLEFOODSMARKET #10236","NEW YORK",0,0
"2720","LA NUEVA NAGUA GROCERY","BROOKLYN",0,0
"2721","JAMAICA DELI & GRILL  1","HOLLIS",0,0
"2722","DAYYAN MINI MART","BROOKLYN",5,NA
"2723","PEGHES DELI & GROCERY","BRONX",4.2,22
"2724","KING GROCERY","NEW YORK",0,0
"2725","R & D DELI GROCERY","FREEPORT",5,2
"2726","LASHWAYS MEAT MARKET","SARANAC",0,0
"2727","ORGANIC GOURMET DELI","BROOKLYN",4.5,36
"2728","DANDY MINI MART 10","CHEMUNG",5,3
